NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)
066600 ZURICH                                          SW  4723N 00834E   569   
066800 SAENTIS (AUT)                                   SW  4715N 00921E  2500   
067000 GENEVA                                          SW  4615N 00608E   416   
067300 JUNGFRAU MOUNTAIN                               SW  4633N 00759E  3576   
067340 INTERLAKEN                                      SW  4640N 00753E   580   
067620 LOCARNO                                         SW  4610N 00853E   198   
067700 LUGANO                                          SW  4600N 00858E   276   
067830 SAN BERNARDINO                                  SW  4628N 00911E  1638   
069900 VADUZ                                           LT  4708N 00932E   463   
070610 ST.-QUENTIN                                     FR  4949N 00312E   101   
071100 BREST                                           FR  4827N 00425W   103   
071430 CHARTRES                                        FR  4828N 00131E   156   
071490 PARIS: ORLY                                     FR  4844N 00224E    96   
071570 PARIS: CHARLES DE GAULLE                        FR  4901N 00232E   109   
071800 NANCY                                           FR  4841N 00613E   217   
071900 STRASBOURG                                      FR  4833N 00738E   154   
072220 NANTES                                          FR  4710N 00136W    27   
072490 ORLEANS                                         FR  4759N 00145E   125   
072800 DIJON                                           FR  4716N 00505E   227   
074600 CLERMONT-FERRAND                                FR  4547N 00310E   330   
074810 LYON                                            FR  4544N 00505E   240   
075100 BORDEAUX                                        FR  4450N 00042W    61   
076300 TOULOUSE                                        FR  4338N 00122E   153   
076430 MONTPELLIER                                     FR  4335N 00358E     6   
076450 NIMES                                           FR  4352N 00424E    62   
076500 MARSEILLE                                       FR  4327N 00514E    36   
076900 NICE                                            FR  4339N 00712E    10   
080010 LA CORUNA                                       SP  4322N 00825W    67   
080230 SANTANDER                                       SP  4328N 00349W    65   
080420 SANTIAGO DE COMPOSTELA                          SP  4254N 00826W   367   
081605 ZARAGOZA                                        SP  4140N 00103W   263   
081810 BARCELONA                                       SP  4117N 00204E     6   
081840 GIRONA                                          SP  4154N 00246E   129   
082020 SALAMANCA                                       SP  4057N 00530W   795   
082210 MADRID                                          SP  4027N 00333W   582   
082840 VALENCIA                                        SP  3930N 00028W    62   
083060 PALMA                                           SP  3933N 00244E     8   
083910 SEVILLA                                         SP  3725N 00554W    31   
084190 GRANADA                                         SP  3711N 00347W   559   
084820 MALAGA                                          SP  3640N 00429W     7   
084950 GIBRALTAR                                       GI  3609N 00521W     5   
085090 LAJES                                           AZ  3846N 02706W    55   
085210 FUNCHAL                                         MD  3241N 01646W    55   
085360 LISBON                                          PO  3847N 00908W   123   
085430 VIANA DO CASTELO                                PO  4142N 00848W    18   
085450 PORTO                                           PO  4114N 00841W    73   
085490 COIMBRA                                         PO  4012N 00825W   140   
085540 FARO                                            PO  3701N 00758W     4   
085570 EVORA                                           PO  3834N 00754W   321   
085620 BEJA                                            PO  3801N 00752W   247   
085710 PORTALEGRE                                      PO  3917N 00725W   590   
085750 BRAGANCA                                        PO  4148N 00644W   692   
085940 SAL ISLAND                                      CV  1644N 02257W    55   
100220 LECK                                            DL  5448N 00857E    13   
100260 HUSUM                                           DL  5431N 00909E    37   
100340 EGGEBEK                                         DL  5438N 00921E    22   
100460 KIEL                                            DL  5423N 01009E    31   
100910 KAP ARKONA                                      DL  5441N 01326E    41   
101220 JEVER                                           DL  5332N 00753E    21   
101290 BREMERHAVEN                                     DL  5332N 00835E    11   
101360 NORDHOLZ (GER-NAVY)                             DL  5346N 00840E    31   
101470 HAMBURG                                         DL  5338N 01000E    16   
101840 GREIFSWALD                                      DL  5406N 01324E     6   
102180 AHLHORN (GER-AFB)                               DL  5253N 00814E    56   
102240 BREMEN                                          DL  5303N 00848E     5   
103340 WUNSTORF                                        DL  5227N 00926E    70   
103380 HANNOVER                                        DL  5228N 00942E    54   
103840 BERLIN                                          DL  5228N 01324E    49   
104000 DUSSELDORF                                      DL  5117N 00647E    44   
104050 LAARBRUCH (RAF)                                 DL  5136N 00609E    31   
104390 FRITZLAR                                        DL  5108N 00917E   181   
104690 LEIPZIG                                         DL  5125N 01214E   133   
104880 DRESDEN                                         DL  5108N 01347E   226   
105010 AACHEN                                          DL  5047N 00606E   205   
105130 KOLN                                            DL  5052N 00710E    99   
105140 MENDIG (GER-ARMY)                               DL  5022N 00719E   191   
105440 EHRENBERG                                       DL  5030N 00957E   925   
106100 BITBURG                                         DL  4957N 00634E   374   
106140 RAMSTEIN (USAFB)                                DL  4926N 00736E   238   
106370 FRANKFURT AM MAIN                               DL  5003N 00836E   113   
106850 HOF                                             DL  5019N 01153E   568   
106870 GRAFENWOHR                                      DL  4942N 01157E   415   
107220 SOLLINGEN (CAN-AFB)                             DL  4846N 00806E   128   
107290 MANNHEIM                                        DL  4931N 00833E   100   
107340 HEIDELBERG                                      DL  4924N 00839E   109   
107380 STUTTGART                                       DL  4841N 00913E   419   
108050 LAHR                                            DL  4822N 00750E   156   
108530 NEUBURG                                         DL  4843N 01113E   387   
108570 LANDSBERG                                       DL  4804N 01054E   628   
108660 MUNICH                                          DL  4808N 01142E   529   
109470 MEMMINGEN                                       DL  4759N 01014E   644   
110100 LINZ                                            OS  4814N 01412E   313   
110350 VIENNA: HOHE WARTE                              OS  4815N 01622E   200   
110360 VIENNA: SCHWECHAT                               OS  4807N 01634E   190   
111200 INNSBRUCK                                       OS  4716N 01121E   593   
111500 SALZBURG                                        OS  4748N 01300E   450   
111570 AIGEN/ENNSTAL (MIL)                             OS  4732N 01408E   649   
111650 ZELTWEG                                         OS  4712N 01445E   682   
112310 KLAGENFURT                                      OS  4639N 01420E   452   
112400 GRAZ                                            OS  4700N 01526E   347   
114060 CHEB                                            CZ  5005N 01224E   471   
114480 PLZEN                                           CZ  4939N 01316E   364   
115180 PRAGUE                                          CZ  5006N 01417E   366   
116590 PRIBYSLAV                                       CZ  4935N 01546E   536   
117230 BRNO                                            CZ  4909N 01642E   246   
117350 PRADED MOUNTAIN                                 CZ  5004N 01714E  1492   
117820 OSTRAVA                                         CZ  4941N 01807E   256   
118160 BRATISLAVA                                      CZ  4812N 01712E   130   
118410 ZILINA                                          CZ  4914N 01837E   315   
