NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)
428090 CALCUTTA                                        IN  2239N 08827E     6   
428670 NAGPUR                                          IN  2106N 07903E   310   
430030 BOMBAY                                          IN  1907N 07251E    14   
430630 POONA                                           IN  1832N 07351E   559   
431170 SHOLAPUR                                        IN  1740N 07554E   479   
431280 HYDERABAD                                       IN  1727N 07828E   545   
431920 GOA/PANAJI                                      IN  1529N 07349E    60   
432790 MADRAS                                          IN  1300N 08011E    16   
432950 BANGALORE                                       IN  1258N 07735E   921   
433290 CUDDALORE                                       IN  1146N 07946E    12   
433710 TRIVANDRUM                                      IN  0829N 07657E    64   
442120 ULAANGOM                                        MO  4958N 09205E   936   
442590 CHOYBALSAN                                      MO  4804N 11430E   756   
442920 ULAANBATAAR                                     MO  4756N 10659E  1316   
450070 KOWLOON                                         HK  2220N 11411E    24   
450110 MACAU                                           MU  2212N 11332E    59   
466860 CHIANG KAI SHEK                                 TW  2505N 12113E    33   
466960 TAIPEI                                          TW  2504N 12133E     6   
466990 HUALIEN                                         TW  2359N 12136E    19   
467400 KAOHSIUNG                                       TW  2235N 12021E     9   
467410 T'AINAN (593580)                                TW  2300N 12013E    14   
467510 T'AICHUNG                                       TW  2411N 12039E   112   
467570 HSINCHU CITY                                    TW  2450N 12000E    27   
470080 CH'ONGJIN                                       KR  4147N 12949E    43   
470310 CHANGJIN                                        KR  4022N 12715E  1081   
470350 SINUIJU                                         KR  4006N 12423E     7   
470410 HAMHUNG                                         KR  3956N 12733E    38   
470500 ANJU                                            KR  3937N 12539E    27   
470550 WONSAN                                          KR  3911N 12726E    36   
470580 P'YONGYANG                                      KR  3902N 12547E    38   
470600 NAMP'O                                          KR  3843N 12522E    47   
470690 HAEJU                                           KR  3802N 12542E    81   
471050 KANGNUNG                                        KO  3745N 12854E    27   
471100 SEOUL                                           KO  3733N 12648E    19   
471120 INCH'ON                                         KO  3729N 12638E    70   
471220 OSAN                                            KO  3705N 12702E    12   
471330 TAEJON                                          KO  3618N 12724E    78   
471430 TAEGU                                           KO  3553N 12837E    61   
471520 ULSAN                                           KO  3533N 12919E    33   
471560 KWANGJU                                         KO  3508N 12655E    72   
471820 CHEJU                                           KO  3330N 12633E    27   
474010 WAKKANAI                                        JP  4525N 14141E    11   
474070 ASAHIKAWA                                       JP  4346N 14222E   116   
474120 SAPPORO                                         JP  4303N 14120E    19   
474300 HAKODATE                                        JP  4149N 14045E    36   
475750 AOMORI                                          JP  4049N 14046E     3   
475840 MORIOKA                                         JP  3942N 14110E   157   
475900 SENDAI                                          JP  3816N 14054E    43   
476040 NIIGATA                                         JP  3755N 13903E     7   
476180 MATSUMOTO                                       JP  3615N 13758E   611   
476240 MAEBASHI                                        JP  3624N 13904E   113   
476350 NAGOYA                                          JP  3515N 13656E    17   
476580 SHIZUHAMA (JASDF)                               JP  3449N 13818E    10   
476630 OWASE                                           JP  3404N 13612E    27   
476710 TOKYO: INTL AIRPORT                             JP  3533N 13947E     8   
476790 ATSUGI                                          JP  3527N 13927E    65   
476810 HAMAMATSU                                       JP  3445N 13742E    48   
476860 NEW TOKYO INTL ARPT                             JP  3546N 14023E    44   
477150 HYAKURI (JASDF)                                 JP  3611N 14025E    35   
477430 MIHO (CIV/JASDF)                                JP  3529N 13315E     9   
477500 MAIZURU                                         JP  3527N 13519E    22   
477620 SHIMONOSEKI                                     JP  3357N 13056E    19   
477650 HIROSHIMA                                       JP  3424N 13228E    53   
477710 OSAKA                                           JP  3447N 13527E    15   
478080 FUKUOKA                                         JP  3335N 13027E    12   
478150 OITA                                            JP  3314N 13137E    13   
478170 NAGASAKI                                        JP  3244N 12952E    35   
478190 KUMAMOTO                                        JP  3249N 13043E    39   
478270 KAGOSHIMA                                       JP  3134N 13033E     5   
478540 NYUTABARU (JASDF)                               JP  3205N 13127E    82   
478870 MATSUYAMA                                       JP  3350N 13247E    34   
478980 TOSASHIMIZU                                     JP  3243N 13301E    33   
479090 NAZE                                            JP  2823N 12930E     7   
479270 MIYAKO JIMA ISLAND                              JP  2447N 12517E    41   
479300 NAHA                                            JP  2611N 12739E     8   
479310 KADENA                                          JP  2621N 12746E    45   
480960 RANGOON                                         BM  1654N 09611E    29   
483030 CHIANG RAI                                      TH  1955N 09950E   395   
483270 CHIANG MAI                                      TH  1847N 09859E   314   
483300 PHRAE                                           TH  1810N 10010E   162   
483760 TAK                                             TH  1653N 09909E   124   
483790 PHETCHABUN                                      TH  1626N 10109E   116   
484560 BANGKOK                                         TH  1355N 10036E    12   
485170 CHUMPHON                                        TH  1029N 09911E     5   
485690 HAT YAI                                         TH  0655N 10026E    35   
486010 GEORGE TOWN                                     MS  0518N 10016E     4   
486150 KOTA BAHARU                                     MS  0610N 10217E     5   
486200 SITIAWAN                                        MS  0413N 10042E     8   
486470 KUALA LUMPUR                                    MS  0307N 10133E    22   
486570 KUANTAN                                         MS  0347N 10313E    16   
486650 MALACCA                                         MS  0216N 10215E     9   
486980 SINGAPORE                                       SR  0122N 10359E    16   
488200 HANOI                                           VS  2101N 10548E     6   
488550 DA NANG                                         VS  1602N 10811E     7   
489000 HO CHI MINH CITY                                VS  1049N 10640E    19   
505570 NENJIANG                                        CI  4910N 12514E   243   
507450 QIQIHAR                                         CI  4723N 12355E   148   
507740 YICHUN                                          CI  4743N 12854E   232   
508540 ANDA                                            CI  4623N 12519E   150   
509530 HARBIN                                          CI  4545N 12646E   143   
509780 JIXI                                            CI  4517N 13057E   234   
514310 YINING                                          CI  4357N 08120E   663   
514630 URUMQI                                          CI  4347N 08737E   919   
516560 KORLA                                           CI  4145N 08608E   933   
517090 KASHI                                           CI  3928N 07559E  1291   
518480 ANDIRLANGAR                                     CI  3756N 08339E  1264   
522030 HAMI                                            CI  4249N 09331E   739   
524950 BAYAN MOD                                       CI  4045N 10430E  1329   
528180 GOLMUD                                          CI  3625N 09454E  2809   
528660 XINING                                          CI  3637N 10146E  2262   
528890 LANZHOU                                         CI  3603N 10353E  1518   
530680 ERENHOT                                         CI  4339N 11200E   966   
534630 HOHHOT                                          CI  4049N 11141E  1065   
534870 DATONG                                          CI  4006N 11320E  1069   
536140 YINCHUAN                                        CI  3829N 10613E  1112   
536980 SHIJIAZHUANG                                    CI  3802N 11425E    81   
537720 TAIYUAN                                         CI  3747N 11233E   779   
538980 ANYANG                                          CI  3607N 11422E    76   
540940 MUDANJIANG                                      CI  4434N 12936E   242   
541610 CHANGCHUN                                       CI  4354N 12513E   238   
543370 JINZHOU                                         CI  4108N 12107E    70   
543420 SHENYANG                                        CI  4146N 12326E    43   
544010 ZHANGJIAKOU                                     CI  4047N 11453E   726   
544710 YINGKOU                                         CI  4040N 12212E     4   
544970 DANDONG                                         CI  4003N 12420E    14   
545110 BEIJING                                         CI  3956N 11617E    55   
545270 TIANJIN                                         CI  3906N 11710E     5   
545340 TANGSHAN                                        CI  3940N 11809E    29   
546020 BAODING                                         CI  3851N 11534E    19   
546620 DALIAN                                          CI  3854N 12138E    97   
548230 JINAN                                           CI  3641N 11659E    58   
548430 WEIFANG                                         CI  3642N 11905E    51   
548570 QINGDAO                                         CI  3604N 12020E    77   
555910 LHASA                                           CI  2940N 09108E  3650   
562940 CHENGDU                                         CI  3040N 10401E   508   
564440 DEQEN                                           CI  2830N 09854E  3488   
567780 KUNMING                                         CI  2501N 10241E  1892   
570360 XI'AN                                           CI  3418N 10856E   398   
570830 ZHENGZHOU                                       CI  3443N 11339E   111   
574610 YICHANG                                         CI  3042N 11118E   134   
574940 WUHAN                                           CI  3037N 11408E    23   
575840 YUEYANG                                         CI  2923N 11305E    52   
576870 CHANGSHA (576790)                               CI  2814N 11252E    68   
578160 GUIYANG                                         CI  2635N 10643E  1074   
579570 GUILIN                                          CI  2520N 11018E   166   
580270 XUZHOU                                          CI  3417N 11709E    42   
582210 BENGBU                                          CI  3257N 11722E    22   
582380 NANJING                                         CI  3200N 11848E    12   
583210 HEFEI                                           CI  3152N 11714E    36   
583670 SHANGHAI                                        CI  3110N 12126E     7   
584570 HANGZHOU                                        CI  3014N 12010E    43   
584770 DINGHAI                                         CI  3002N 12207E    37   
585270 JINGDEZHEN                                      CI  2918N 11712E    60   
586060 NANCHANG                                        CI  2836N 11555E    50   
586590 WENZHOU                                         CI  2801N 12040E     7   
588470 FUZHOU                                          CI  2605N 11917E    85   
590460 LIUZHOU                                         CI  2421N 10924E    97   
590820 SHAOGUAN                                        CI  2448N 11335E    68   
591340 XIAMEN                                          CI  2429N 11805E   139   
592870 GUANGZHOU                                       CI  2308N 11319E     8   
593160 SHANTOU                                         CI  2324N 11641E     3   
594170 LONGZHOU                                        CI  2222N 10645E   129   
594310 NANNING                                         CI  2249N 10821E    73   
596580 ZHANJIANG                                       CI  2113N 11024E    28   
599480 YAXIAN                                          CI  1814N 10931E     7   
600250 SANTA CRUZ DE TENERIFE                          CR  2803N 01634W    72   
600300 LAS PALMAS                                      CR  2756N 01523W    25   
601010 TANGER                                          MC  3544N 00554W    21   
601070 AL HOCEIMA                                      MC  3511N 00351W    14   
601150 OUJDA                                           MC  3447N 00156W   470   
601550 CASABLANCA                                      MC  3334N 00740W    62   
601560 CASABLANCA/NOUASSER                             MC  3322N 00735W   206   
601850 SAFI                                            MC  3217N 00914W    45   
601950 MIDELT                                          MC  3241N 00444W  1515   
602650 OUARZAZATE                                      MC  3056N 00654W  1140   
603600 ANNABA                                          AL  3650N 00749E     4   
603900 ALGIERS                                         AL  3643N 00315E    25   
604190 CONSTANTINE                                     AL  3617N 00637E   694   
604750 TEBESSA                                         AL  3529N 00808E   813   
604900 ORAN                                            AL  3538N 00036W    90   
605250 BISKRA                                          AL  3448N 00544E    87   
605900 EL GOLEA                                        AL  3034N 00252E   397   
606110 I-N-AMENAS                                      AL  2803N 00938E   562   
606300 I-N-SALAH                                       AL  2712N 00228E   293   
606800 TAMANRASSET                                     AL  2247N 00531E  1378   
607140 BIZERTE                                         TS  3715N 00948E     3   
607150 TUNIS                                           TS  3650N 01014E     4   
607200 KELIBIA                                         TS  3651N 01105E    30   
607350 KAIROUAN                                        TS  3540N 01006E    68   
607450 GAFSA                                           TS  3425N 00849E   314   
607650 GABES                                           TS  3353N 01006E     5   
610240 AGADEZ                                          NR  1658N 00759E   502   
610520 NIAMEY                                          NR  1329N 00210E   227   
610910 MAGARIA                                         NR  1259N 00856E   403   
610990 GAYA                                            NR  1153N 00327E   203   
612910 BAMAKO                                          MI  1232N 00757W   381   
614150 NOUADHIBOU                                      MT  2056N 01702W     3   
614420 NOUAKCHOTT                                      MT  1806N 01557W     3   
616000 SAINT LOUIS                                     SG  1603N 01627W     4   
616410 DAKAR                                           SG  1444N 01730W    24   
616870 TAMBACOUNDA                                     SG  1346N 01341W    50   
616950 ZIGUINCHOR                                      SG  1233N 01616W    23   
619020 GEORGETOWN                                      AI  0758S 01424W    79   
619670 DIEGO GARCIA ISLAND                             BT  0718S 07224E     3   
620100 TRIPOLI                                         LY  3240N 01309E    81   
620530 BANGHAZI                                        LY  3205N 02016E   132   
623180 ALEXANDRIA                                      EG  3112N 02957E     7   
623660 CAIRO                                           EG  3008N 03124E    74   
624050 LUXOR                                           EG  2540N 03242E    88   
624140 ASWAN                                           EG  2358N 03247E   194   
636120 LODWAR                                          KN  0307N 03537E   515   
637080 KISUMU                                          KN  0006S 03445E  1146   
637140 NAKURU                                          KN  0016S 03606E  1901   
637230 GARISSA                                         KN  0028S 03938E   147   
637400 NAIROBI                                         KN  0119S 03655E  1624   
638200 MOMBASA                                         KN  0402S 03937E    55   
638940 DAR ES SALAAM                                   TN  0652S 03912E    55   
644500 BRAZZAVILLE/MAYAMA                              CG  0415S 01515E   316   
653300 PARAKOU                                         BJ  0921N 00237E   393   
653440 COTONOU                                         BJ  0621N 00223E     9   
655780 ABIDJAN                                         IV  0515N 00356W     8   
670270 MAHAJANGA                                       MG  1540S 04621E    18   
670830 ANTANANARIVO                                    MG  1848S 04729E  1276   
677750 HARARE                                          ZW  1755S 03108E  1503   
681740 PIETERSBURG                                     ZA  2352S 02927E  1222   
682620 PRETORIA                                        ZA  2544S 02811E  1322   
683680 JOHANNESBURG                                    ZA  2608S 02814E  1700   
684420 BLOEMFONTEIN                                    ZA  2906S 02618E  1348   
685880 DURBAN                                          ZA  2958S 03057E     8   
688160 CAPE TOWN                                       ZA  3359S 01836E    42   
688420 PORT ELIZABETH                                  ZA  3359S 02536E    60   
689940 MARION ISLAND                                   ZA  4653S 03752E    22   
700260 BARROW                                       AK US  7118N 15647W     4   
700637 DEADHORSE                                    AK US  7012N 14828W    17   
701330 KOTZEBUE                                     AK US  6652N 16238W     5   
701740 BETTLES                                      AK US  6655N 15131W   196   
701940 FORT YUKON                                   AK US  6634N 14516W   131   
702000 NOME                                         AK US  6430N 16526W     7   
702070 UNALAKLEET                                   AK US  6353N 16048W     6   
702190 BETHEL                                       AK US  6047N 16148W    46   
702220 GALENA                                       AK US  6444N 15656W    46   
702310 MCGRATH                                      AK US  6258N 15537W   103   
702320 ANIAK                                        AK US  6135N 15932W    26   
702510 TALKEETNA                                    AK US  6218N 15006W   109   
702590 KENAI                                        AK US  6034N 15115W    29   
702600 NENANA                                       AK US  6433N 14905W   110   
702610 FAIRBANKS: INT'L AIRPORT                     AK US  6449N 14752W   138   
702650 FAIRBANKS: EIELSON AFB                       AK US  6440N 14706W   167   
702670 BIG DELTA: FT.GREELY                         AK US  6400N 14544W   391   
702700 ANCHORAGE: FORT RICHARDSON (702736)          AK US  6116N 14939W   115   
702710 GULKANA                                      AK US  6209N 14527W   481   
702720 ANCHORAGE: ELMENDORF AFB                     AK US  6115N 14948W    65   
702730 ANCHORAGE: INT'L AIRPORT                     AK US  6110N 15001W    40   
702750 VALDEZ                                       AK US  6108N 14621W    10   
702910 NORTHWAY                                     AK US  6258N 14156W   525   
702960 CORDOVA                                      AK US  6030N 14530W    13   
703080 SAINT PAUL ISLAND                            AK US  5709N 17013W     9   
703160 COLD BAY                                     AK US  5512N 16244W    31   
703210 DILLINGHAM                                   AK US  5903N 15831W    29   
703260 KING SALMON                                  AK US  5841N 15639W    15   
703330 PORT HEIDEN                                  AK US  5657N 15837W    29   
703400 ILIAMNA                                      AK US  5945N 15455W    49   
703410 HOMER                                        AK US  5938N 15130W    22   
703430 MIDDLETON ISLAND                             AK US  5926N 14620W    14   
703500 KODIAK: STATE USCG BASE                      AK US  5745N 15230W    34   
703610 YAKUTAT                                      AK US  5931N 13940W     9   
703710 SITKA                                        AK US  5704N 13521W    20   
703810 JUNEAU                                       AK US  5822N 13435W     7   
703950 KETCHIKAN                                    AK US  5521N 13142W    29   
703980 ANNETTE                                      AK US  5502N 13134W    34   
704140 SHEMYA: EARECKSON AFS                        AK US  5243N 17407E    30   
704540 ADAK: NAS                                    AK US  5153N 17639W     4   
722010 KEY WEST                                     FL US  2433N 08145W     6   
722020 MIAMI: INT'L AIRPORT                         FL US  2549N 08017W     4   
722025 FORT LAUDERDALE/HOLLYWOOD                    FL US  2604N 08009W     7   
722026 HOMESTEAD: AFB                               FL US  2529N 08023W     2   
722029 MIAMI/KENDALL: NEW TAMIAMI AIRPORT           FL US  2539N 08026W     3   
722030 WEST PALM BEACH                              FL US  2641N 08007W     6   
722040 MELBOURNE                                    FL US  2806N 08039W    11   
722045 VERO BEACH                                   FL US  2739N 08025W     8   
722050 ORLANDO                                      FL US  2826N 08119W    32   
722056 DAYTONA BEACH                                FL US  2911N 08103W    11   
722060 JACKSONVILLE: INT'L AIRPORT                  FL US  3030N 08142W     9   
722066 JACKSONVILLE: MAYPORT NAVAL STATION          FL US  3024N 08125W     5   
722067 JACKSONVILLE: CECIL FIELD NAS                FL US  3013N 08153W    25   
722070 SAVANNAH                                     GA US  3208N 08112W    15   
722080 CHARLESTON                                   SC US  3254N 08002W    15   
722085 BEAUFORT: MCAS                               SC US  3229N 08043W    12   
722106 FORT MYERS                                   FL US  2635N 08152W     5   
722110 TAMPA: INT'L AIRPORT                         FL US  2758N 08232W     3   
722115 SARASOTA/BRADENTON                           FL US  2724N 08233W     9   
722116 SAINT PETERSBURG                             FL US  2755N 08241W     3   
722120 CROSS CITY                                   FL US  2937N 08306W    13   
722130 WAYCROSS                                     GA US  3115N 08224W    46   
722137 BRUNSWICK                                    GA US  3109N 08123W     6   
722140 TALLAHASSEE                                  FL US  3023N 08422W    21   
722146 GAINESVILLE                                  FL US  2941N 08216W    46   
722160 ALBANY                                       GA US  3132N 08411W    59   
722166 VALDOSTA: REGIONAL AIRPORT                   GA US  3047N 08317W    62   
722170 MACON                                        GA US  3242N 08339W   110   
722180 AUGUSTA                                      GA US  3322N 08158W    45   
722190 ATLANTA                                      GA US  3339N 08425W   315   
722200 APALACHICOLA                                 FL US  2944N 08502W     6   
722210 VALPARAISO: EGLIN AFB                        FL US  3029N 08632W    26   
722215 CRESTVIEW                                    FL US  3047N 08631W    65   
722225 PENSACOLA: FOREST SHERMAN AFB                FL US  3021N 08719W     9   
722226 MILTON: WHITING FIELD NAS                    FL US  3043N 08701W    61   
722230 MOBILE                                       AL US  3041N 08815W    67   
722250 COLUMBUS: FORT BENNING                       GA US  3220N 08500W    71   
722255 COLUMBUS: METRO AIRPORT                      GA US  3231N 08456W   121   
722260 MONTGOMERY                                   AL US  3218N 08624W    62   
722268 DOTHAN                                       AL US  3119N 08527W   122   
722269 OZARK: FORT RUCKER                           AL US  3117N 08543W    91   
722270 MARIETTA: DOBBINS AFB                        GA US  3355N 08431W   326   
722280 BIRMINGHAM                                   AL US  3334N 08645W   192   
722286 TUSCALOOSA                                   AL US  3313N 08737W    52   
722287 ANNISTON                                     AL US  3335N 08551W   186   
722310 NEW ORLEANS: INT'L AIRPORT                   LA US  2959N 09015W     9   
722315 NEW ORLEANS: LAKEFRONT AIRPORT               LA US  3003N 09002W     3   
722317 BATON ROUGE                                  LA US  3032N 09109W    21   
722340 MERIDIAN                                     MS US  3220N 08845W    94   
722350 JACKSON                                      MS US  3219N 09005W   101   
722358 MCCOMB                                       MS US  3111N 09028W   126   
722359 GREENWOOD                                    MS US  3330N 09005W    47   
722390 LEESVILLE: FORT POLK                         LA US  3103N 09312W   100   
722400 LAKE CHARLES                                 LA US  3007N 09313W    10   
722405 LAFAYETTE                                    LA US  3012N 09159W    13   
722410 BEAUMONT/PORT ARTHUR                         TX US  2957N 09401W     7   
722420 GALVESTON (722422: 722423)                   TX US  2918N 09448W    16   
722430 HOUSTON: INTERCONTINENTAL AIRPORT            TX US  2958N 09521W    33   
722435 HOUSTON: HOBBY AIRPORT                       TX US  2939N 09517W    14   
722445 COLLEGE STATION/BRYAN                        TX US  3035N 09622W    98   
722446 LUFKIN                                       TX US  3114N 09445W    88   
722448 TYLER                                        TX US  3221N 09524W   166   
722470 LONGVIEW (722447)                            TX US  3221N 09439W   124   
722480 SHREVEPORT                                   LA US  3228N 09349W    79   
722485 BOSSIER CITY: BARKSDALE AFB                  LA US  3230N 09340W    51   
722486 MONROE                                       LA US  3231N 09202W    24   
722500 BROWNSVILLE                                  TX US  2554N 09726W     6   
722506 MCALLEN                                      TX US  2611N 09814W    33   
722510 CORPUS CHRISTI                               TX US  2746N 09730W    13   
722516 KINGSVILLE: NAS                              TX US  2730N 09749W    15   
722517 ALICE                                        TX US  2744N 09802W    54   
722520 LAREDO                                       TX US  2733N 09928W   155   
722526 COTULLA                                      TX US  2827N 09913W   144   
722530 SAN ANTONIO: INT'L AIRPORT                   TX US  2932N 09828W   242   
722535 SAN ANTONIO: KELLY AFB                       TX US  2923N 09835W   210   
722536 SAN ANTONIO: RANDOLPH AFB                    TX US  2932N 09817W   232   
722540 AUSTIN                                       TX US  3018N 09742W   189   
722550 VICTORIA                                     TX US  2851N 09655W    36   
722556 BEEVILLE: CHASE FIELD NAS                    TX US  2822N 09740W    58   
722560 WACO                                         TX US  3137N 09713W   155   
722576 KILLEEN: FORT HOOD                           TX US  3104N 09750W   309   
722577 TEMPLE                                       TX US  3109N 09724W   208   
722590 DALLAS/FORT WORTH: INT'L AIRPORT             TX US  3254N 09702W   182   
722595 FORT WORTH: CARSWELL AFB                     TX US  3246N 09727W   198   
722596 FORT WORTH: MEACHAM FIELD                    TX US  3249N 09722W   216   
722610 DEL RIO: INT'L AIRPORT                       TX US  2922N 10055W   307   
722615 DEL RIO: LAUGHLIN AFB                        TX US  2922N 10047W   330   
722620 GUADALUPE PASS                               TX US  3150N 10448W  1662   
722630 SAN ANGELO                                   TX US  3122N 10030W   582   
722640 MARFA                                        TX US  3022N 10401W  1481   
722650 MIDLAND/ODESSA                               TX US  3157N 10211W   872   
722660 ABILENE                                      TX US  3225N 09941W   546   
722670 LUBBOCK: INT'L ARPT                          TX US  3339N 10149W   988   
722675 LUBBOCK: REESE AFB                           TX US  3336N 10203W  1017   
722680 ROSWELL                                      NM US  3318N 10432W  1118   
722686 CLOVIS: CANNON AFB                           NM US  3423N 10319W  1309   
722687 CARLSBAD                                     NM US  3220N 10416W  1004   
722688 HOBBS                                        NM US  3241N 10313W  1115   
722700 EL PASO                                      TX US  3148N 10624W  1194   
722710 TRUTH OR CONSEQUENCES                        NM US  3314N 10716W  1481   
722735 DOUGLAS                                      AZ US  3128N 10936W  1265   
722740 TUCSON                                       AZ US  3207N 11056W   779   
722747 SAFFORD: AGRI CENTER                         AZ US  3249N 10941W   950   
722780 PHOENIX: INT'L AIRPORT                       AZ US  3326N 11201W   337   
722785 PHOENIX: LUKE AFB                            AZ US  3332N 11223W   332   
722800 YUMA                                         AZ US  3239N 11436W    63   
722860 RIVERSIDE: MARCH AFB                         CA US  3353N 11716W   469   
722865 ONTARIO                                      CA US  3403N 11736W   287   
722866 SAN BERNARDINO: NORTON AFB                   CA US  3406N 11714W   353   
722880 BURBANK/GLENDALE                             CA US  3412N 11821W   236   
722900 SAN DIEGO: INT'L AIRPORT                     CA US  3244N 11710W     9   
722926 OCEANSIDE: CAMP PENDLETON MCAS               CA US  3318N 11721W    24   
722930 SAN DIEGO: MIRAMAR NAS (722908)              CA US  3251N 11707W   128   
722950 LOS ANGELES                                  CA US  3356N 11824W    32   
722970 LONG BEACH                                   CA US  3349N 11809W    12   
722977 SANTA ANA                                    CA US  3341N 11752W    16   
723013 WILMINGTON (723011)                          NC US  3416N 07754W    10   
723040 CAPE HATTERAS                                NC US  3516N 07533W     3   
723060 RALEIGH/DURHAM                               NC US  3552N 07847W   134   
723066 GOLDSBORO: SEYMOUR JOHNSON AFB               NC US  3520N 07758W    33   
723075 OCEANA: NAS                                  VA US  3649N 07602W     7   
723080 NORFOLK                                      VA US  3654N 07612W     9   
723086 NEWPORT NEWS                                 VA US  3708N 07630W    13   
723090 CHERRY POINT: MCAS                           NC US  3454N 07653W     9   
723095 NEW BERN                                     NC US  3504N 07703W     6   
723096 JACKSONVILLE: NEW RIVER MCAF                 NC US  3443N 07727W     8   
723100 COLUMBIA                                     SC US  3357N 08107W    69   
723106 FLORENCE                                     SC US  3411N 07943W    45   
723110 ATHENS                                       GA US  3357N 08319W   247   
723120 GREER/GREENVILLE                             SC US  3454N 08213W   296   
723125 ANDERSON                                     SC US  3430N 08243W   238   
723140 CHARLOTTE                                    NC US  3513N 08056W   234   
723145 HICKORY                                      NC US  3544N 08123W   362   
723150 ASHEVILLE                                    NC US  3526N 08233W   661   
723170 GREENSBORO                                   NC US  3605N 07957W   270   
723183 BRISTOL (723181)                             TN US  3629N 08224W   463   
723193 WINSTON-SALEM (723190: 723191)               NC US  3608N 08013W   296   
723200 ROME                                         GA US  3421N 08510W   196   
723230 HUNTSVILLE                                   AL US  3439N 08646W   196   
723235 MUSCLE SHOALS/FLORENCE                       AL US  3445N 08737W   168   
723240 CHATTANOOGA                                  TN US  3502N 08512W   210   
723260 KNOXVILLE                                    TN US  3549N 08359W   299   
723265 CROSSVILLE                                   TN US  3557N 08505W   573   
723270 NASHVILLE                                    TN US  3608N 08641W   180   
723300 POPLAR BLUFF                                 MO US  3646N 09028W   146   
723306 COLUMBUS: AFB                                MS US  3339N 08827W    67   
723320 TUPELO (723301: 723303)                      MS US  3416N 08846W   110   
723340 MEMPHIS                                      TN US  3503N 09000W    87   
723346 JACKSON                                      TN US  3536N 08855W   132   
723347 DYERSBURG                                    TN US  3600N 08924W   103   
723405 LITTLE ROCK: AFB                             AR US  3455N 09209W    95   
723407 JONESBORO                                    AR US  3550N 09039W    80   
723408 BLYTHEVILLE: EAKER AFB                       AR US  3558N 08957W    78   
723415 HOT SPRINGS                                  AR US  3429N 09306W   165   
723417 PINE BLUFF                                   AR US  3411N 09156W    63   
723418 TEXARKANA                                    AR US  3327N 09359W   119   
723419 EL DORADO                                    AR US  3313N 09248W    77   
723440 FORT SMITH                                   AR US  3520N 09422W   141   
723445 FAYETTEVILLE                                 AR US  3600N 09410W   381   
723446 HARRISON                                     AR US  3616N 09309W   416   
723489 CAPE GIRARDEAU                               MO US  3714N 08934W   104   
723495 JOPLIN                                       MO US  3709N 09430W   299   
723510 WICHITA FALLS: SHEPPARD AFB                  TX US  3359N 09830W   314   
723520 ALTUS: AFB                                   OK US  3440N 09916W   420   
723530 OKLAHOMA CITY: WILL ROGERS AIRPORT           OK US  3524N 09736W   397   
723535 ENID: VANCE AFB                              OK US  3620N 09755W   398   
723540 OKLAHOMA CITY: TINKER AFB                    OK US  3525N 09723W   394   
723546 PONCA CITY                                   OK US  3644N 09706W   307   
723550 LAWTON: FORT SILL/POST FIELD AF              OK US  3439N 09824W   362   
723560 TULSA                                        OK US  3612N 09554W   206   
723566 MCALESTER                                    OK US  3453N 09547W   235   
723600 CLAYTON                                      NM US  3627N 10309W  1515   
723627 GALLUP                                       NM US  3531N 10847W  1972   
723630 AMARILLO                                     TX US  3514N 10142W  1099   
723650 ALBUQUERQUE                                  NM US  3503N 10637W  1620   
723658 FARMINGTON                                   NM US  3645N 10814W  1677   
723676 TUCUMCARI                                    NM US  3511N 10336W  1239   
723700 KINGMAN                                      AZ US  3516N 11357W  1033   
723710 PAGE                                         AZ US  3656N 11127W  1304   
723723 PRESCOTT (723721)                            AZ US  3439N 11225W  1537   
723740 WINSLOW                                      AZ US  3501N 11044W  1488   
723755 FLAGSTAFF                                    AZ US  3508N 11140W  2137   
723815 BARSTOW/DAGGETT                              CA US  3451N 11647W   587   
723816 LANCASTER/PALMDALE                           CA US  3444N 11813W   715   
723825 VICTORVILLE: GEORGE AFB                      CA US  3435N 11723W   876   
723830 SANDBERG                                     CA US  3445N 11844W  1379   
723840 BAKERSFIELD                                  CA US  3526N 11903W   150   
723860 LAS VEGAS: INT'L AIRPORT                     NV US  3605N 11510W   664   
723865 NORTH LAS VEGAS: NELLIS AFB                  NV US  3614N 11502W   570   
723870 MERCURY                                      NV US  3637N 11601W  1009   
723890 FRESNO                                       CA US  3646N 11943W   100   
723900 POINT PIEDRAS                                CA US  3540N 12117W    21   
723910 OXNARD: PT. MUGU NAWS                        CA US  3407N 11907W     2   
723925 SANTA BARBARA                                CA US  3426N 11950W     3   
723940 SANTA MARIA                                  CA US  3454N 12027W    73   
723965 PASO ROBLES                                  CA US  3540N 12038W   255   
724010 RICHMOND                                     VA US  3730N 07720W    54   
724016 CHARLOTTESVILLE                              VA US  3808N 07827W   195   
724030 STERLING                                     VA US  3857N 07727W    98   
724035 QUANTICO: MCAS                               VA US  3830N 07718W     4   
724037 FORT BELVOIR                                 VA US  3843N 07711W    21   
724040 LEXINGTON PARK: PATUXENT RIVER NAS           MD US  3817N 07624W    12   
724045 SALISBURY                                    MD US  3820N 07531W    16   
724050 WASHINGTON: NATIONAL AIRPORT                 VA US  3851N 07702W    20   
724060 GLEN BURNIE/BALTIMORE: BWI AIRPORT           MD US  3911N 07640W    47   
724070 ATLANTIC CITY                                NJ US  3927N 07434W    20   
