699604TYA.csv,699604,Yuma MCAS
725958TYA.csv,725958,Alturas
725945TYA.csv,725945,Arcata Airport
723840TYA.csv,723840,Bakersfield Meadows Field
724837TYA.csv,724837,Beale AFB
724800TYA.csv,724800,Bishop Airport
725845TYA.csv,725845,Blue Canyon AP
747188TYA.csv,747188,Blythe Riverside Co Arpt
722880TYA.csv,722880,Burbank-Glendale-Passadena AP
723926TYA.csv,723926,Camarillo (AWOS)
722926TYA.csv,722926,Camp Pendleton MCAS
722927TYA.csv,722927,Carlsbad/Palomar
746120TYA.csv,746120,China Lake Naf
722899TYA.csv,722899,Chino Airport
722904TYA.csv,722904,Chula Vista Brown Field NAAS
724936TYA.csv,724936,Concord Concord-Buchanan Fiel
725946TYA.csv,725946,Crescent City Faa Ai
723815TYA.csv,723815,Daggett Barstow-Daggett AP
723810TYA.csv,723810,Edwards AFB
723890TYA.csv,723890,Fresno Yosemite Intl AP
722976TYA.csv,722976,Fullerton Municipal
724935TYA.csv,724935,Hayward Air Term
747185TYA.csv,747185,Imperial
722956TYA.csv,722956,Jack Northrop Fld H
723816TYA.csv,723816,Lancaster Gen Wm Fox Field
747020TYA.csv,747020,Lemoore Reeves NAS
724927TYA.csv,724927,Livermore Municipal
722895TYA.csv,722895,Lompoc (AWOS)
722970TYA.csv,722970,Long Beach Daugherty Fld
722950TYA.csv,722950,Los Angeles Intl Arpt
722860TYA.csv,722860,March AFB
724815TYA.csv,724815,Merced/Macready Fld
724926TYA.csv,724926,Modesto City-County AP
725955TYA.csv,725955,Montague Siskiyou County AP
724915TYA.csv,724915,Monterey Naf
745090TYA.csv,745090,Mountain View Moffett Fld NAS
724955TYA.csv,724955,Napa Co. Airport
723805TYA.csv,723805,Needles Airport
724930TYA.csv,724930,Oakland Metropolitan Arpt
723927TYA.csv,723927,Oxnard Airport
722868TYA.csv,722868,Palm Springs Intl
747187TYA.csv,747187,Palm Springs Thermal AP
723820TYA.csv,723820,Palmdale Airport
723965TYA.csv,723965,Paso Robles Municipal Arpt
723910TYA.csv,723910,Point Mugu Nf
723895TYA.csv,723895,Porterville (AWOS)
725910TYA.csv,725910,Red Bluff Municipal Arpt
725920TYA.csv,725920,Redding Municipal Arpt
722869TYA.csv,722869,Riverside Muni
724830TYA.csv,724830,Sacramento Executive Arpt
724839TYA.csv,724839,Sacramento Metropolitan AP
724917TYA.csv,724917,Salinas Municipal AP
722900TYA.csv,722900,San Diego Lindbergh Field
722930TYA.csv,722930,San Diego Miramar NAS
722906TYA.csv,722906,San Diego North Island NAS
722903TYA.csv,722903,San Diego/Montgomer
724940TYA.csv,724940,San Francisco Intl AP
724945TYA.csv,724945,San Jose Intl AP
722897TYA.csv,722897,San Luis Co Rgnl
723830TYA.csv,723830,Sandberg
722977TYA.csv,722977,Santa Ana John Wayne AP
723925TYA.csv,723925,Santa Barbara Municipal AP
723940TYA.csv,723940,Santa Maria Public Arpt
722885TYA.csv,722885,Santa Monica Muni
724957TYA.csv,724957,Santa Rosa (AWOS)
725847TYA.csv,725847,South Lake Tahoe
724920TYA.csv,724920,Stockton Metropolitan Arpt
745160TYA.csv,745160,Travis Field AFB
725846TYA.csv,725846,Truckee-Tahoe
690150TYA.csv,690150,Twentynine Palms
725905TYA.csv,725905,Ukiah Municipal AP
722886TYA.csv,722886,Van Nuys Airport
723896TYA.csv,723896,Visalia Muni (AWOS)
724838TYA.csv,724838,Yuba Co
724698TYA.csv,724698,Akron Washington Co AP
724620TYA.csv,724620,Alamosa San Luis Valley Rgnl
724676TYA.csv,724676,Aspen Pitkin Co Sar
724695TYA.csv,724695,Aurora Buckley Field ANGB
724699TYA.csv,724699,Broomfield/Jeffco [Boulder - Surfrad]
724660TYA.csv,724660,Colorado Springs Muni AP
724767TYA.csv,724767,Cortez/Montezuma Co
725700TYA.csv,725700,Craig-Moffat
725650TYA.csv,725650,Denver Intl AP
724666TYA.csv,724666,Denver/Centennial [Golden - NREL]
724625TYA.csv,724625,Durango/La Plata Co
724675TYA.csv,724675,Eagle County AP
724769TYA.csv,724769,Fort Collins (AWOS)
724760TYA.csv,724760,Grand Junction Walker Field
724768TYA.csv,724768,Greeley/Weld (AWOS)
724677TYA.csv,724677,Gunnison Co. (AWOS)
725715TYA.csv,725715,Hayden/Yampa (AWOS)
724635TYA.csv,724635,La Junta Municipal AP
724636TYA.csv,724636,Lamar Municipal
724673TYA.csv,724673,Leadville/Lake Co.
724665TYA.csv,724665,Limon
724765TYA.csv,724765,Montrose Co. Arpt
724640TYA.csv,724640,Pueblo Memorial AP
725717TYA.csv,725717,Rifle/Garfield Rgnl
724645TYA.csv,724645,Trinidad Las Animas County AP
725040TYA.csv,725040,Bridgeport Sikorsky Memorial
725086TYA.csv,725086,Danbury Municipal
725046TYA.csv,725046,Groton New London AP
725080TYA.csv,725080,Hartford Bradley Intl AP
